Nematomorpha | Gordioidea | - | Gordioida | - | - | - | - | --

Nematomorpha | Gordioidea | - | Gordioida | - | - | Chordodidae | - | Pseudochordodes bulbareolatus
Nematomorpha | Gordioidea | - | Gordioida | - | - | Chordodidae | - | Pseudochordodes texanus

Nematomorpha | Gordioidea | - | Gordioida | - | - | Chordodidae | - | Chordodes morgani
Nematomorpha | Gordioidea | - | Gordioida | - | - | Chordodidae | - | Neochordodes occidentalis
Nematomorpha | Gordioidea | - | Gordioida | - | - | Chordodidae | - | Paragordius varius
Nematomorpha | Gordioidea | - | Gordioida | - | - | Chordodidae | - | Pseudochordodes griffini
Nematomorpha | Gordioidea | - | Gordioida | - | - | Chordodidae | - | Pseudochordodes manteri
Nematomorpha | Gordioidea | - | Gordioida | - | - | Chordodidae | - | Pseudochordodes meridionalis

Nematomorpha | Gordioidea | - | Gordioida | - | - | Gordiidae | - | Gordius robustus
Nematomorpha | Gordioidea | - | Gordioida | - | - | Gordiidae | - | Gordius sp.

Annelida | Hirudinea | - | Arynchobdellida | - | - | Erpobdellidae | - | Erpobdella lineata

Annelida | Oligochaeta | - | Haplotaxida | - | - | - | - | --

Arthropoda | Malacostraca | - | Isopoda | - | - | Porcellionidae | - | --

Arthropoda | Arachnida | - | Pseudoscorpionida | - | - | - | - | --

Arthropoda | Arachnida | - | Pseudoscorpionida | - | - | Atemnidae | - | Paratemnoides sp.
Arthropoda | Arachnida | - | Pseudoscorpionida | - | - | Bochicidae | - | Paravachonium sp.
Arthropoda | Arachnida | - | Pseudoscorpionida | - | - | Cheliferidae | - | --
Arthropoda | Arachnida | - | Pseudoscorpionida | - | - | Sternophoridae | - | Garyops sp.

Arthropoda | Arachnida | - | Pseudoscorpionida | - | - | Chernetidae | - | --
Arthropoda | Arachnida | - | Pseudoscorpionida | - | - | Chernetidae | - | "Neoallochernes" sp.
Arthropoda | Arachnida | - | Pseudoscorpionida | - | - | Chernetidae | - | "Parazaona" cavicola
Arthropoda | Arachnida | - | Pseudoscorpionida | - | - | Chernetidae | - | Americhernes or Incachernes sp.
Arthropoda | Arachnida | - | Pseudoscorpionida | - | - | Chernetidae | - | Dinocheirus sp.
Arthropoda | Arachnida | - | Pseudoscorpionida | - | - | Chernetidae | - | Hesperochernes sp.

