# New Jars Ready for Problem Report-8 October 2021; revised for 2021-11-16 labels

Arthropoda | Arachnida | Acari | Ixodida | - | - | Argasidae | - | --

Arthropoda | Arachnida | Acari | Ixodida | - | - | Argasidae | - | Antricola mexicanus
Arthropoda | Arachnida | Acari | Ixodida | - | - | Argasidae | - | Nothoaspis reddelli

Arthropoda | Arachnida | Acari | Ixodida | - | - | Argasidae | - | Ornithodoros brodyi
Arthropoda | Arachnida | Acari | Ixodida | - | - | Argasidae | - | Ornithodoros dyeri
Arthropoda | Arachnida | Acari | Ixodida | - | - | Argasidae | - | Ornithodoros sp.
Arthropoda | Arachnida | Acari | Ixodida | - | - | Argasidae | - | Ornithodoros sp. (rossi group)
Arthropoda | Arachnida | Acari | Ixodida | - | - | Argasidae | - | Ornithodoros turicata
Arthropoda | Arachnida | Acari | Ixodida | - | - | Argasidae | - | Ornithodoros yumatensis

Arthropoda | Arachnida | Acari | Ixodida | - | - | Ixodidae | - | Amblyomma americanum
Arthropoda | Arachnida | Acari | Ixodida | - | - | Ixodidae | - | Amblyomma cajennense
Arthropoda | Arachnida | Acari | Ixodida | - | - | Ixodidae | - | Amblyomma sp.
Arthropoda | Arachnida | Acari | Ixodida | - | - | Ixodidae | - | Dermacentor variabilis
Arthropoda | Arachnida | Acari | Ixodida | - | - | Ixodidae | - | Ixodes conepati
Arthropoda | Arachnida | Acari | Ixodida | - | - | Ixodidae | - | Ixodes sp.

Arthropoda | Diplopoda | - | Polydesmida | - | - | Macrosternodesmidae | - | Speodesmus causeyae

Arthropoda | Diplopoda | - | Polydesmida | - | - | Macrosternodesmidae | - | Speodesmus echinourus

Arthropoda | Diplopoda | - | Polydesmida | - | - | Macrosternodesmidae | - | Speodesmus falcatus

Arthropoda | Diplopoda | - | Polydesmida | - | - | Macrosternodesmidae | - | Speodesmus ivyi

Arthropoda | Diplopoda | - | Polydesmida | - | - | Macrosternodesmidae | - | Speodesmus reddelli

