# Jars Ready for Problem Report- 1 Feb. 2022

Arthropoda | Insecta | - | Orthoptera | - | - | - | - | --

Arthropoda | Insecta | - | Orthoptera | - | - | Phalangopsidae | - | --

Arthropoda | Insecta | - | Orthoptera | - | - | Phalangopsidae | - | Paracophus sp.

Arthropoda | Insecta | - | Orthoptera | - | - | Rhaphidophoridae | - | --

Arthropoda | Insecta | - | Orthoptera | - | - | Rhaphidophoridae | - | Ceuthophilus gracilipes

Arthropoda | Insecta | - | Orthoptera | - | - | Rhaphidophoridae | - | Ceuthophilus (Ceuthophilus) n. sp. B

Arthropoda | Insecta | - | Orthoptera | - | - | Rhaphidophoridae | - | Ceuthophilus (Ceuthophilus) secretus

Arthropoda | Insecta | - | Orthoptera | - | - | Stenopelmatidae | - | --

Arthropoda | Insecta | - | Phasmatodea | - | - | - | - | --

Arthropoda | Insecta | - | Psocoptera | - | - | Amphientomidae | - | --
Arthropoda | Insecta | - | Psocoptera | - | - | Amphientomidae | - | Lithoseopsis sp.

Arthropoda | Insecta | - | Psocoptera | - | - | Epipsocidae | - | --
Arthropoda | Insecta | - | Psocoptera | - | - | Epipsocidae | - | Bertkauia sp.

- (16360),(45209),(60420)
