# Jars dated 2022-03-26

Arthropoda | Insecta | - | Hymenoptera | - | - | - | - | --
Arthropoda | Insecta | - | Hymenoptera | - | - | Andrenidae | - | Perdita sp.
Arthropoda | Insecta | - | Hymenoptera | - | - | Bethylidae | - | Holepyris sp.
Arthropoda | Insecta | - | Hymenoptera | - | - | Braconidae | - | Apanteles sp.
Arthropoda | Insecta | - | Hymenoptera | - | - | Cynipidae | - | Trybliographa sp.

Arthropoda | Insecta | - | Hymenoptera | - | - | Apidae | - | Apis mellifera
Arthropoda | Insecta | - | Hymenoptera | - | - | Apidae | - | Trigona atrolutea
Arthropoda | Insecta | - | Hymenoptera | - | - | Apidae | - | Trigona testacea cupira

Arthropoda | Insecta | - | Hymenoptera | - | - | Diapriidae | - | --
Arthropoda | Insecta | - | Hymenoptera | - | - | Diapriidae | - | Diapria sp.--
Arthropoda | Insecta | - | Hymenoptera | - | - | Diapriidae | - | Psilus sp.
Arthropoda | Insecta | - | Hymenoptera | - | - | Diapriidae | - | Trichopria sp.

Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Aphaenogaster boulderensis smithi
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Aphaenogaster sp.
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Aphaenogaster sp. nr. texana
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Aphaenogaster texana
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Atta mexicana
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Atta texana

Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Crematogaster laeviuscula
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Crematogaster sp.
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Cyphomyrmex rimosus
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Forelius pruinosus
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Formica gnava

Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Hypoponera inexorata
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Hypoponera opaciceps
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Hypoponera opacior

Arthropoda | Insecta | - | Hymenotera | - | - | Formicidae | - | Labidus coecus
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Leptogenys elongata
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Leptogenys sp.

Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | Myrmecinae | --
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Leptothorax obturator
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Monomorium minimum
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Monomorium viridum
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Myrmecina americana

Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Nylanderia arenivaga
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Nylanderia terricola
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Nylanderia vividula
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Odontomachus clarus
Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Pachycondyla harpax

Arthropoda | Insecta | - | Hymenoptera | - | - | Formicidae | - | Pheidole dentata
