# Jars Ready for Problems Report-4 April 2022 (received April 6)

Arthropoda | Insecta | - | Hemiptera | - | - | - | - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Belostomatidae| - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Belostomatidae| - | Abedus breviceps
Arthropoda | Insecta | - | Hemiptera | - | - | Belostomatidae| - | Abedus immensus
Arthropoda | Insecta | - | Hemiptera | - | - | Belostomatidae| - | Abedus signoreti
Arthropoda | Insecta | - | Hemiptera | - | - | Belostomatidae| - | Belostoma flumineum

Arthropoda | Insecta | - | Hemiptera | - | - | Ceratocombidae | - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Ceratocombidae | - | Ceratocombus sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Gelastocoridae | - | --

Arthropoda | Insecta | - | Hemiptera | - | - | Cicadellidae| - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Cicadellidae| - | Empoasca sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Cicadellidae| - | Exitanus sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Ortheziidae| - | --

Arthropoda | Insecta | - | Hemiptera | - | - | Cydnidae |   | --
Arthropoda | Insecta | - | Hemiptera | - | - | Cydnidae |   | Amnestus pusio
Arthropoda | Insecta | - | Hemiptera | - | - | Cydnidae |   | Pangaeus sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Cydnidae |   | Pangaeus aethiops
Arthropoda | Insecta | - | Hemiptera | - | - | Cydnidae |   | Pangaeus docilis
Arthropoda | Insecta | - | Hemiptera | - | - | Cydnidae |   | Pangaeus piceatus
Arthropoda | Insecta | - | Hemiptera | - | - | Cydnidae | - | Sehirus sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Cydnidae |   | Tominotus unisetosus

Arthropoda | Insecta | - | Hemiptera | - | - | Gerridae | - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Gerridae | - | Eurygerris fluviolineatus
Arthropoda | Insecta | - | Hemiptera | - | - | Gerridae | - | Gerris remigis
Arthropoda | Insecta | - | Hemiptera | - | - | Gerridae | - | Gerris sp.
Arthropoda | Insecta | - | Hemiptera | - | - | Gerridae | - | Trepobates sp.

Arthropoda | Insecta | - | Hemiptera | - | - | Largidae | - | Largus cinctus
Arthropoda | Insecta | - | Hemiptera | - | - | Lygaeidae | - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Mesoveliidae | - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Nepidae | - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Notonectidae | - | --
Arthropoda | Insecta | - | Hemiptera | - | - | Pyrrhocoridae | - | Dysdercus sp.
