Arthropoda | Arachnida | - | Opilionida | - | - | Sclerosomatidae | - | Leiobunum flavum

Arthropoda | Insecta | - | Diptera | - | - | Anthyomiidae | - | --
Arthropoda | Insecta | - | Diptera | - | - | Bibionidae | - | --


Arthropoda | Insecta | - | Diptera | - | - | Cecidomyiidae | - | --

Arthropoda | Insecta | - | Diptera | - | - | Ceratopogonidae | - | Forcipomyia sp.

Arthropoda | Insecta | - | Diptera | - | - | Chironomidae | - | --

Arthropoda | Insecta | - | Diptera | - | - | Chironomidae | - | --
Arthropoda | Insecta | - | Diptera | - | - | Chironomidae | Orthocladiinae | --
Arthropoda | Insecta | - | Diptera | - | - | Chironomidae | - | Chironomus sp.

Arthropoda | Insecta | - | Diptera | - | - | Chloropidae | - | --

Arthropoda | Insecta | - | Diptera | - | - | Culicidae | - | --
Arthropoda | Insecta | - | Diptera | - | - | Culicidae | - | Culiseta sp.

Arthropoda | Insecta | - | Diptera | - | - | Dolichopodidae | - | --

Arthropoda | Insecta | - | Diptera | - | - | Drosophilidae | - | --

Arthropoda | Insecta | - | Diptera | - | - | Hwlomyzise | - |sp. 
Arthropoda | Insecta | - | Diptera | - | - | Helomyzidae | - | Amoeblaria sabroskyi

Arthropoda | Concastraca | - | | - | - | - | - | --

Arthropoda | Malacostraca | - | Amphipoda | - | - | - | - | --

Arthropoda | Malacostraca | - | Amphipoda | - | - | Bogidiellidae | - | Artesia subterranea

Arthropoda | Malacostraca | - | Amphipoda | - | - | Crangonyctidae | - | Stygobromus balconis
Arthropoda | Malacostraca | - | Amphipoda | - | - | Crangonyctidae | - | Stygobromus dejectus
Arthropoda | Malacostraca | - | Amphipoda | - | - | Crangonyctidae | - | Stygobromus flagellatus
Arthropoda | Malacostraca | - | Amphipoda | - | - | Crangonyctidae | - | Stygobromus longipes
Arthropoda | Malacostraca | - | Amphipoda | - | - | Crangonyctidae | - | Stygobromus pecki

Arthropoda | Malacostraca | - | Amphipoda | - | - | Crangonyctidae | - | Stygobromus bifurcatus

Arthropoda | Malacostraca | - | Amphipoda | - | - | Crangonyctidae | - | Stygobromus russelli

Arthropoda | Malacostraca | - | Amphipoda | - | - | Hadziidae | - | Paraholsingerius smaragdinus
Arthropoda | Malacostraca | - | Amphipoda | - | - | Hadziidae | - | Paramexieckelia ruffoi
Arthropoda | Malacostraca | - | Amphipoda | - | - | Hadziidae | - | Texiweckelia texensis
Arthropoda | Malacostraca | - | Amphipoda | - | - | Hadziidae | - | Texiweckeliopsis insolita

Arthropoda | Malacostraca | - | Amphipoda | - | - | Hyalellidae | - | Hyalella azteca
Arthropoda | Malacostraca | - | Amphipoda | - | - | Hyalellidae | - | Hyalella sp.
Arthropoda | Malacostraca | - | Amphipoda | - | - | Hyalellidae | - | Hyalella texana

Arthropoda | Malacostraca | - | Amphipoda | - | - | Hadziidae | - | Allotexiweckelia hirsuta
Arthropoda | Malacostraca | - | Amphipoda | - | - | Hadziidae | - | Holsingerius samacos
Arthropoda | Malacostraca | - | Amphipoda | - | - | Hadziidae | - | Holsingerius sp.
Arthropoda | Malacostraca | - | Amphipoda | - | - | Hadziidae | - | Mexiweckelia colei

Arthropoda | Malacostraca | - | Amphipoda | - | - | Hadziidae | - | Mayaweckelia cenoticola
Arthropoda | Malacostraca | - | Amphipoda | - | - | Hadziidae | - | Mayaweckelia yucatanensis

Arthropoda | Malacostraca | - | Amphipoda | - | - | Sebidae | - | Seborgia relicta

Arthropoda | Malacostraca | - | Isopoda | - | - | Asellidae | - | --

