Arthropoda | Arachnida | - | Araneae | - | - | Agelenidae | - | --

Arthropoda | Arachnida | - | Araneae | - | - | Agelenidae | - | Agelenopsis aperta
Arthropoda | Arachnida | - | Araneae | - | - | Agelenidae | - | Agelenopsis sp.

Arthropoda | Arachnida | - | Araneae | - | - | Amaurobiidae | - | --

Arthropoda | Arachnida | - | Araneae | - | - | Amphinectidae | - | Metaltella simoni

Arthropoda | Arachnida | - | Araneae | - | - | Anyphaenidae | - | --
Arthropoda | Arachnida | - | Araneae | - | - | Anyphaenidae | - | Anyphaena fraterna
Arthropoda | Arachnida | - | Araneae | - | - | Anyphaenidae | - | Anyphaena sp.
Arthropoda | Arachnida | - | Araneae | - | - | Anyphaenidae | - | Hibana sp.
Arthropoda | Arachnida | - | Araneae | - | - | Anyphaenidae | - | Wulfila sp.
Arthropoda | Arachnida | - | Araneae | - | - | Anyphaenidae | - | Wulfila tantillus

Arthropoda | Arachnida | - | Araneae | - | - | Araneidae | - | --

Arthropoda | Arachnida | - | Araneae | -| - | Araneidae | - | Araneus sp.
Arthropoda | Arachnida | - | Araneae | - | - | Araneidae | - | Argiope aurantia

Arthropoda | Arachnida | - | Araneae | - | - | Araneidae | - | Alpaida sp.
Arthropoda | Arachnida | - | Araneae | -| - | Araneidae | - | Araneus sp.
Arthropoda | Arachnida | - | Araneae | - | - | Araneidae | - | Cyclosa sp.
Arthropoda | Arachnida | - | Araneae | - | - | Araneidae | - | Hypsosinga funebris
Arthropoda | Arachnida | - | Araneae | - | - | Araneidae | - | Mangora placida
Arthropoda | Arachnida | - | Araneae | - | - | Araneidae | - | Mangora sp.
Arthropoda | Arachnida | - | Araneae | - | - | Araneidae | - | Micrathena sp.
Arthropoda | Arachnida | - | Araneae | - | - | Araneidae | - | Neoscona oaxacensis
Arthropoda | Arachnida | - | Araneae | - | - | Araneidae | - | Ocrepeira sp.

Arthropoda | Arachnida | - | Araneae | - | - | Barychelidae | - | --

Arthropoda | Arachnida | - | Araneae | - | - | Caponiidae | - | Orthonops sp.

Arthropoda | Arachnida | - | Araneae | - | - | Clubionidae | - | --
Arthropoda | Arachnida | - | Araneae | - | - | Clubionidae | - | Clubiona sp.
Arthropoda | Arachnida | - | Araneae | - | - | Clubionidae | - | Elaver excepta

Arthropoda | Arachnida | - | Araneae | - | - | Corinnidae | - | --
